actual_seq_len,batch_size,best_eval_accuracy,best_eval_loss,best_eval_step,dtype,file,final_eval_accuracy,final_eval_loss,final_step,final_train_loss,hidden_size,lr,model,param_count,requested_seq_len,seed,status,steps,task,vocab_size
249,4,0.025201612903225805,4.1484375,2000,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr1e_3_2000steps_freegpu.jsonl,0.025201612903225805,4.1484375,2000,4.15625,256,0.001,gdn,1254920,256,42,ok,2000,mqar,128
249,4,0.021169354838709676,4.15625,1400,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr1e_3_2000steps_freegpu.jsonl,0.009072580645161291,4.1484375,2000,4.15625,256,0.001,kda,1385988,256,42,ok,2000,mqar,128
249,4,0.03024193548387097,4.109375,800,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr1e_3_2000steps_freegpu.jsonl,0.021169354838709676,4.078125,2000,4.09375,256,0.001,mamba2,1520928,256,42,ok,2000,mqar,128
249,4,0.023185483870967742,4.15625,1800,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr1e_4_2000steps_freegpu.jsonl,0.021169354838709676,4.15625,2000,4.15625,256,0.0001,gdn,1254920,256,42,ok,2000,mqar,128
249,4,0.02721774193548387,4.15625,2000,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr1e_4_2000steps_freegpu.jsonl,0.02721774193548387,4.15625,2000,4.15625,256,0.0001,kda,1385988,256,42,ok,2000,mqar,128
249,4,0.02620967741935484,4.1484375,2000,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr1e_4_2000steps_freegpu.jsonl,0.02620967741935484,4.1484375,2000,4.15625,256,0.0001,mamba2,1520928,256,42,ok,2000,mqar,128
249,4,0.021169354838709676,4.15625,1400,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr5e_4_2000steps_freegpu.jsonl,0.009072580645161291,4.1484375,2000,4.15625,256,0.0005,gdn,1254920,256,42,ok,2000,mqar,128
249,4,0.019153225806451613,4.15625,1400,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr5e_4_2000steps_freegpu.jsonl,0.009072580645161291,4.140625,2000,4.15625,256,0.0005,kda,1385988,256,42,ok,2000,mqar,128
249,4,0.06955645161290322,3.79296875,2000,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr5e_4_2000steps_freegpu.jsonl,0.06955645161290322,3.79296875,2000,3.75,256,0.0005,mamba2,1520928,256,42,ok,2000,mqar,128
249,4,0.018145161290322582,4.2421875,1800,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr5e_5_2000steps_freegpu.jsonl,0.017137096774193547,4.2265625,2000,4.21875,256,5e-05,gdn,1254920,256,42,ok,2000,mqar,128
249,4,0.02217741935483871,4.2734375,1800,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr5e_5_2000steps_freegpu.jsonl,0.017137096774193547,4.2421875,2000,4.25,256,5e-05,kda,1385988,256,42,ok,2000,mqar,128
249,4,0.02620967741935484,4.4453125,1400,bfloat16,artifacts/synthetic_mqar_paper_shape_bf16_b4_q63_lr5e_5_2000steps_freegpu.jsonl,0.02217741935483871,4.3515625,2000,4.375,256,5e-05,mamba2,1520928,256,42,ok,2000,mqar,128
