actual_seq_len,batch_size,best_eval_accuracy,best_eval_loss,best_eval_step,dtype,file,final_eval_accuracy,final_eval_loss,final_step,final_train_loss,hidden_size,lr,model,param_count,requested_seq_len,seed,status,steps,task,vocab_size
256,4,0.0009765625,8.34375,600,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.0,8.328125,2000,8.3125,256,0.001,gdn,5383688,256,42,ok,2000,mqar,8192
256,4,0.0009765625,9.140625,1,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.0,8.34375,2000,8.3125,256,0.001,kda,5514756,256,42,ok,2000,mqar,8192
256,4,0.001953125,8.46875,200,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.0009765625,8.359375,2000,8.3125,256,0.001,mamba2,5649696,256,42,ok,2000,mqar,8192
256,4,0.0009765625,9.03125,200,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr1e_4_2000steps_freegpu.jsonl,0.0,8.375,2000,8.3125,256,0.0001,gdn,5383688,256,42,ok,2000,mqar,8192
256,4,0.0009765625,9.140625,1,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr1e_4_2000steps_freegpu.jsonl,0.0,8.375,2000,8.375,256,0.0001,kda,5514756,256,42,ok,2000,mqar,8192
256,4,0.0009765625,8.375,2000,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr1e_4_2000steps_freegpu.jsonl,0.0009765625,8.375,2000,8.375,256,0.0001,mamba2,5649696,256,42,ok,2000,mqar,8192
256,4,0.0009765625,8.375,400,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr5e_4_2000steps_freegpu.jsonl,0.0,8.375,2000,8.375,256,0.0005,gdn,5383688,256,42,ok,2000,mqar,8192
256,4,0.0009765625,9.140625,1,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr5e_4_2000steps_freegpu.jsonl,0.0,8.375,2000,8.375,256,0.0005,kda,5514756,256,42,ok,2000,mqar,8192
256,4,0.0029296875,8.453125,200,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr5e_4_2000steps_freegpu.jsonl,0.0,8.359375,2000,8.3125,256,0.0005,mamba2,5649696,256,42,ok,2000,mqar,8192
256,4,0.0009765625,9.015625,1800,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr5e_5_2000steps_freegpu.jsonl,0.0,8.9375,2000,8.875,256,5e-05,gdn,5383688,256,42,ok,2000,mqar,8192
256,4,0.0009765625,9.140625,1,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr5e_5_2000steps_freegpu.jsonl,0.0,8.953125,2000,9.0,256,5e-05,kda,5514756,256,42,ok,2000,mqar,8192
256,4,0.0009765625,9.140625,400,bfloat16,artifacts/synthetic_mqar_zoology_shape_bf16_b4_v8192_p64_lr5e_5_2000steps_freegpu.jsonl,0.0,9.046875,2000,9.0,256,5e-05,mamba2,5649696,256,42,ok,2000,mqar,8192
