actual_seq_len,batch_size,best_eval_accuracy,best_eval_loss,best_eval_step,dtype,file,final_eval_accuracy,final_eval_loss,final_step,final_train_loss,hidden_size,lr,model,param_count,requested_seq_len,seed,status,steps,task,vocab_size
256,4,0.0009765625,12.09375,800,bfloat16,artifacts/synthetic_mqar_zoology_tied_bf16_b4_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.0,10.484375,2000,10.375,256,0.001,gdn,3286536,256,42,ok,2000,mqar,8192
256,4,0.0009765625,22.5,200,bfloat16,artifacts/synthetic_mqar_zoology_tied_bf16_b4_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.0,10.8125,2000,10.5625,256,0.001,kda,3417604,256,42,ok,2000,mqar,8192
256,4,0.001953125,28.75,1600,bfloat16,artifacts/synthetic_mqar_zoology_tied_bf16_b4_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.0,27.71875,2000,27.375,256,0.001,mamba2,3552544,256,42,ok,2000,mqar,8192
256,4,0.001953125,8.375,1400,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b4_v8192_p64_lr1e_2_2000steps_freegpu.jsonl,0.0,8.375,2000,8.375,256,0.01,gdn,3810824,256,42,ok,2000,mqar,8192
256,4,0.001953125,9.0625,1,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b4_v8192_p64_lr1e_2_2000steps_freegpu.jsonl,0.0009765625,8.375,2000,8.375,256,0.01,kda,3941892,256,42,ok,2000,mqar,8192
256,4,0.0009765625,8.5,200,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b4_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.0009765625,8.375,2000,8.375,256,0.001,gdn,3810824,256,42,ok,2000,mqar,8192
256,4,0.0009765625,8.40625,400,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b4_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.0009765625,8.375,2000,8.375,256,0.001,kda,3941892,256,42,ok,2000,mqar,8192
256,4,0.0009765625,8.59375,200,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b4_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.0009765625,8.375,2000,8.375,256,0.001,mamba2,4076832,256,42,ok,2000,mqar,8192
256,4,0.001953125,8.390625,1000,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b4_v8192_p64_lr3.16e_2_2000steps_freegpu.jsonl,0.0009765625,8.375,2000,8.375,256,0.0316,gdn,3810824,256,42,ok,2000,mqar,8192
256,4,0.001953125,8.390625,600,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b4_v8192_p64_lr3.16e_2_2000steps_freegpu.jsonl,0.0,8.390625,2000,8.375,256,0.0316,kda,3941892,256,42,ok,2000,mqar,8192
256,4,0.001953125,8.375,600,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b4_v8192_p64_lr3.16e_3_2000steps_freegpu.jsonl,0.0009765625,8.375,2000,8.375,256,0.00316,gdn,3810824,256,42,ok,2000,mqar,8192
256,4,0.001953125,8.390625,1000,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b4_v8192_p64_lr3.16e_3_2000steps_freegpu.jsonl,0.0,8.375,2000,8.375,256,0.00316,kda,3941892,256,42,ok,2000,mqar,8192
65,64,0.99755859375,0.0194244384765625,1200,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b64_v256_p4_lr1e_3_2000steps_freegpu.jsonl,0.9970703125,0.018848419189453125,2000,0.0230712890625,256,0.001,gdn,1779208,64,42,ok,2000,mqar,256
65,64,0.27001953125,1.73046875,1800,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b64_v256_p4_lr1e_3_2000steps_freegpu.jsonl,0.26123046875,1.724609375,2000,1.6953125,256,0.001,kda,1910276,64,42,ok,2000,mqar,256
256,64,0.000732421875,8.375,400,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b64_v8192_p16_lr1e_3_2000steps_freegpu.jsonl,0.00048828125,8.359375,2000,8.375,256,0.001,gdn,3810824,256,42,ok,2000,mqar,8192
256,64,0.000732421875,8.375,400,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b64_v8192_p16_lr1e_3_2000steps_freegpu.jsonl,0.000244140625,8.34375,2000,8.3125,256,0.001,kda,3941892,256,42,ok,2000,mqar,8192
256,64,0.0006103515625,8.3125,1600,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b64_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.000244140625,8.3125,2000,8.3125,256,0.001,gdn,3810824,256,42,ok,2000,mqar,8192
256,64,0.00048828125,8.3125,1600,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b64_v8192_p64_lr1e_3_2000steps_freegpu.jsonl,0.000244140625,8.3125,2000,8.3125,256,0.001,kda,3941892,256,42,ok,2000,mqar,8192
256,64,0.000244140625,9.0,10,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b64_v8192_p64_lr1e_3_20steps_freegpu.jsonl,0.0,8.75,20,8.75,256,0.001,gdn,3810824,256,42,ok,20,mqar,8192
256,64,0.000244140625,8.9375,10,bfloat16,artifacts/synthetic_mqar_zoology_tied_init002_mlp4_bf16_b64_v8192_p64_lr1e_3_20steps_freegpu.jsonl,0.000244140625,8.6875,20,8.6875,256,0.001,kda,3941892,256,42,ok,20,mqar,8192
