actual_seq_len,batch_size,best_eval_accuracy,best_eval_loss,best_eval_step,dtype,file,final_eval_accuracy,final_eval_loss,final_step,final_train_loss,hidden_size,lr,model,param_count,requested_seq_len,seed,status,steps,task,vocab_size
65,2,0.9453125,0.26318359375,2000,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_lr1e_3_2000steps.jsonl,0.9453125,0.26318359375,2000,0.2421875,64,0.001,gdn,61636,32,42,ok,2000,palindrome,16
65,2,0.37109375,1.865234375,2000,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_lr1e_3_2000steps.jsonl,0.37109375,1.865234375,2000,1.8359375,64,0.001,kda,86338,32,42,ok,2000,palindrome,16
65,2,0.087890625,2.818359375,1400,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_lr1e_4_2000steps.jsonl,0.068359375,2.763671875,2000,2.75,64,0.0001,gdn,61636,32,42,ok,2000,palindrome,16
65,2,0.08984375,2.814453125,1200,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_lr1e_4_2000steps.jsonl,0.064453125,2.802734375,2000,2.921875,64,0.0001,kda,86338,32,42,ok,2000,palindrome,16
65,2,0.783203125,1.001953125,2000,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_lr5e_4_2000steps.jsonl,0.783203125,1.001953125,2000,0.8984375,64,0.0005,gdn,61636,32,42,ok,2000,palindrome,16
65,2,0.19140625,2.408203125,1600,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_lr5e_4_2000steps.jsonl,0.162109375,2.3828125,2000,2.359375,64,0.0005,kda,86338,32,42,ok,2000,palindrome,16
65,2,0.076171875,2.904296875,1,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_lr5e_5_2000steps.jsonl,0.05859375,2.884765625,2000,2.859375,64,5e-05,gdn,61636,32,42,ok,2000,palindrome,16
65,2,0.083984375,2.904296875,600,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_lr5e_5_2000steps.jsonl,0.05078125,2.8984375,2000,3.03125,64,5e-05,kda,86338,32,42,ok,2000,palindrome,16
65,2,0.904296875,0.3984375,1800,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_seed123_lr1e_3_2000steps.jsonl,0.865234375,0.454345703125,2000,0.396484375,64,0.001,gdn,61636,32,123,ok,2000,palindrome,16
65,2,0.634765625,1.2080078125,1800,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_seed123_lr1e_3_2000steps.jsonl,0.591796875,1.189453125,2000,1.0546875,64,0.001,kda,86338,32,123,ok,2000,palindrome,16
65,2,0.107421875,2.763671875,1000,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_seed123_lr1e_4_2000steps.jsonl,0.09375,2.7734375,2000,2.75,64,0.0001,gdn,61636,32,123,ok,2000,palindrome,16
65,2,0.099609375,2.767578125,1200,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_seed123_lr1e_4_2000steps.jsonl,0.091796875,2.724609375,2000,2.734375,64,0.0001,kda,86338,32,123,ok,2000,palindrome,16
65,2,0.16796875,2.453125,1800,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_seed123_lr5e_4_2000steps.jsonl,0.166015625,2.41796875,2000,2.453125,64,0.0005,gdn,61636,32,123,ok,2000,palindrome,16
65,2,0.39453125,1.923828125,2000,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_seed123_lr5e_4_2000steps.jsonl,0.39453125,1.923828125,2000,2.015625,64,0.0005,kda,86338,32,123,ok,2000,palindrome,16
65,2,0.10546875,2.83984375,1000,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_seed123_lr5e_5_2000steps.jsonl,0.08984375,2.869140625,2000,2.8125,64,5e-05,gdn,61636,32,123,ok,2000,palindrome,16
65,2,0.091796875,2.876953125,1200,bfloat16,artifacts/synthetic_palindrome_easy_shortconv_bf16_b2_seed123_lr5e_5_2000steps.jsonl,0.08984375,2.873046875,2000,2.921875,64,5e-05,kda,86338,32,123,ok,2000,palindrome,16
