actual_seq_len,batch_size,best_eval_accuracy,best_eval_loss,best_eval_step,dtype,file,final_eval_accuracy,final_eval_loss,final_step,final_train_loss,hidden_size,lr,model,param_count,requested_seq_len,seed,status,steps,task,vocab_size
255,4,0.014271653543307087,4.8125,2000,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr1e_3_2000steps_freegpu.jsonl,0.014271653543307087,4.8125,2000,4.8125,256,0.001,gdn,1254920,256,42,ok,2000,palindrome,128
255,4,0.03887795275590551,4.6953125,2000,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr1e_3_2000steps_freegpu.jsonl,0.03887795275590551,4.6953125,2000,4.6875,256,0.001,kda,1385988,256,42,ok,2000,palindrome,128
255,4,0.05708661417322835,4.3515625,1200,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr1e_3_2000steps_freegpu.jsonl,0.047244094488188976,4.3046875,2000,4.28125,256,0.001,mamba2,1520928,256,42,ok,2000,palindrome,128
255,4,0.01033464566929134,5.015625,1,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr1e_4_2000steps_freegpu.jsonl,0.008366141732283465,4.890625,2000,4.875,256,0.0001,gdn,1254920,256,42,ok,2000,palindrome,128
255,4,0.011318897637795276,4.9296875,800,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr1e_4_2000steps_freegpu.jsonl,0.008366141732283465,4.8984375,2000,4.875,256,0.0001,kda,1385988,256,42,ok,2000,palindrome,128
255,4,0.011318897637795276,4.9140625,2000,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr1e_4_2000steps_freegpu.jsonl,0.011318897637795276,4.9140625,2000,4.9375,256,0.0001,mamba2,1520928,256,42,ok,2000,palindrome,128
255,4,0.012303149606299213,4.859375,200,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr5e_4_2000steps_freegpu.jsonl,0.008858267716535433,4.84375,2000,4.84375,256,0.0005,gdn,1254920,256,42,ok,2000,palindrome,128
255,4,0.011318897637795276,4.859375,200,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr5e_4_2000steps_freegpu.jsonl,0.01033464566929134,4.84375,2000,4.84375,256,0.0005,kda,1385988,256,42,ok,2000,palindrome,128
255,4,0.09596456692913385,4.09375,1800,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr5e_4_2000steps_freegpu.jsonl,0.08612204724409449,4.0625,2000,4.03125,256,0.0005,mamba2,1520928,256,42,ok,2000,palindrome,128
255,4,0.00984251968503937,4.96875,800,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr5e_5_2000steps_freegpu.jsonl,0.005905511811023622,4.96875,2000,4.9375,256,5e-05,gdn,1254920,256,42,ok,2000,palindrome,128
255,4,0.00984251968503937,4.9921875,400,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr5e_5_2000steps_freegpu.jsonl,0.008858267716535433,4.9609375,2000,4.9375,256,5e-05,kda,1385988,256,42,ok,2000,palindrome,128
255,4,0.011811023622047244,4.984375,2000,bfloat16,artifacts/synthetic_palindrome_paper_shape_bf16_b4_lr5e_5_2000steps_freegpu.jsonl,0.011811023622047244,4.984375,2000,5.0,256,5e-05,mamba2,1520928,256,42,ok,2000,palindrome,128
